category_name,category_id,rank_in_category,itemId,title,author,publisher,pubDate,isbn,isbn13,priceSales,priceStandard,salesPoint,customerReviewRank,bestSellerRank,link,cover,description,fetched_at
건강/취미,55890,1,296236093,당신은 사건 현장에 있습니다 - 일러스트 한 장으로 즐기는 추리 게임,"모데스토 가르시아 (지은이), 하비 데 카스트로 (그림), 엄지영 (옮긴이)",중앙books(중앙북스),2022-05-30,8927812972,9788927812975,25200,28000,22533,9,1,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=296236093&amp;partner=openAPI&amp;start=api,https://image.aladin.co.kr/product/29623/60/coversum/8927812972_2.jpg,"공항, 크루즈, 박물관, 경찰서 등 유럽 곳곳에서 의문의 사건이 발생했다. 뭔가 미심쩍은 자살부터 불운한 사고, 기묘한 미스터리까지 각기 다른 12개의 사건 현장이 당신을 기다린다. 천재 크리에이터 모데스토 가르시아가 기획한 이 책은 독특한 창의성과 놀라운 상상력으로 독자들을 추리 소설의 주인공으로 만든다.",2026-08-13T15:12:05+09:00
건강/취미,55890,2,395486703,머도쿠 - 두뇌를 자극하는 추리 퍼즐 80,"마누엘 가란드 (지은이), 박나림 (옮긴이)",중앙books(중앙북스),2026-06-18,8927813642,9788927813644,20700,23000,15235,10,2,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=395486703&amp;partner=openAPI&amp;start=api,https://image.aladin.co.kr/product/39548/67/coversum/8927813642_2.jpg,"""한 문제만 더."" 《머도쿠》는 이 짧은 말이 가장 잘 어울리는 추리 퍼즐북이다. &lt;파이낸셜 타임스&gt;의 퍼즐 디자이너 마누엘 가란드가 스도쿠의 규칙, 논리 퍼즐의 추론, 배틀십의 공간 감각을 새롭게 결합해 만든 《머도쿠》는 독자를 총 80개의 살인 사건 속으로 초대한다.",2026-08-13T15:12:05+09:00
건강/취미,55890,3,397217574,마음이 단단해지는 하루 한 문장 일본어 필사,안은미 (지은이),센시오,2026-07-16,K432130700,9791166572296,19800,22000,10705,10,3,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=397217574&amp;partner=openAPI&amp;start=api,https://image.aladin.co.kr/product/39721/75/coversum/k432130700_1.jpg,"일본의 대표 예술가 제아미, 문제적 천재 다자이 오사무, 일본 근대 문학의 아버지 나쓰메 소세키의 명문장부터, 1990년대 일본 전체를 들썩이게 한 드라마 〈롱 베케이션〉의 명대사 등 일본 문학사와 문화에서 중요한 120개의 문장이 한 권에 담겼다.",2026-08-13T15:12:05+09:00
건강/취미,55890,4,95733788,크툴루의 부름 : 수호자 룰북,"샌디 피터슨, 린 윌리스, 마이크 메이슨, 폴 프리커 (지은이), 박나림 (옮긴이)",초여명,2016-11-02,8988060393,9788988060391,34200,38000,28695,10,4,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=95733788&amp;partner=openAPI&amp;start=api,https://image.aladin.co.kr/product/9573/37/coversum/8988060393_1.jpg,"크툴루의 부름은 H.P. 러브크래프트의 세계를 다루는 테이블 롤플레잉 게임이다. 크툴루의 부름에는 비밀, 수수께끼, 공포가 가득하다. 여러분은 용감한 탐사자가 되어 기이하고 위험한 곳들을 가고, 흉악한 음모를 밝혀내고, 크툴루 신화의 공포들에 맞선다.",2026-08-13T15:12:05+09:00
건강/취미,55890,5,399803229,식단 짜주는 남자 밥피티 다이어트 레시피 - 맛있게 먹고 스트레스 없이 살 빼는 현실적인 식단 관리,밥피티 (지은이),한빛라이프,2026-08-05,K032130730,9791124656051,20700,23000,3440,10,5,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=399803229&amp;partner=openAPI&amp;start=api,https://image.aladin.co.kr/product/39980/32/coversum/k032130730_1.jpg,"80만 회원님의 식단을 책임지고 있는 밥피티의 첫 다이어트 레시피북. 일대일 온라인 밥 PT를 책으로 만나보자. 어떻게든 먹으려는 회원과 어떻게든 막으려는 트레이너, 유쾌한 티키타카와 함께 즐거운 다이어트를 이어갈 수 있다. 굶거나 혹독한 식단으로 무리하다가 포기하는 대신, 먹는 즐거움을 보장하는 똑똑한 다이어트 레시피로 현명하게 감량해보자.",2026-08-13T15:12:05+09:00
건강/취미,55890,6,271247686,백년 허리 2 : 치료편 - 내 허리 사용 설명서,정선근 (지은이),언탱글링,2021-05-13,K272731146,9791197437311,16650,18500,43846,9,6,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=271247686&amp;partner=openAPI&amp;start=api,https://image.aladin.co.kr/product/27124/76/coversum/k272731146_1.jpg,"서울대 의대 재활의학과 정선근 교수의 스테디셀러인 백년허리1 진단편에 이은 실제적인 치료 방법을 제시하고 있는 백년허리2 치료편이다. 치료편에서 저자는 허리 통증에서 벗어날 수 있는 방법을 정확히, 구체적으로, 누구나 따라할 수 있도록 설명하고 있다.",2026-08-13T15:12:05+09:00
건강/취미,55890,7,398018915,아픈 사람의 99%는 장누수다,강신용 (지은이),내몸사랑연구소,2026-07-24,K482130507,9791199024670,18000,20000,6440,10,7,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=398018915&amp;partner=openAPI&amp;start=api,https://image.aladin.co.kr/product/39801/89/coversum/k482130507_1.jpg,세상에 ‘만병통치약’은 없겠지만 병이 시작되는 핵심적인 원인은 반드시 존재한다. 저자는 그것이 바로 우리의 ‘장누수’이며 인간은 결국 ‘장 건강’을 어떻게 유지하느냐에 따라 평생 건강한 몸으로 살 수 있는지의 여부가 달려 있다고 이야기한다.,2026-08-13T15:12:05+09:00
건강/취미,55890,8,391373242,"착한 염증 나쁜 염증 - 면역 , 질병 , 노화를 좌우하는 우리 몸의 조용한 지배자",이승훈 (지은이),웅진지식하우스,2026-04-24,8901299771,9788901299778,18900,21000,13275,10,8,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=391373242&amp;partner=openAPI&amp;start=api,https://image.aladin.co.kr/product/39137/32/coversum/8901299771_1.jpg,“병은 운이 아니라 관리 가능한 결과다.” 이 한 문장으로 독자들의 인식을 뒤흔든 사람이 있다. 서울대학교병원 신경과 전문의이자 뇌졸중 분야의 권위자 이승훈 교수다. 베스트셀러 『뇌가 멈추기 전에』를 통해 뇌졸중을 대중의 언어로 풀어낸 저자는 신작 『착한 염증 나쁜 염증』에서 현대인이 앓는 모든 만성 질환의 근원인 ‘염증’을 정면으로 해부한다.,2026-08-13T15:12:05+09:00
건강/취미,55890,9,269524451,"백년 허리 1 : 진단편 - 내 허리 통증 해석하기, 개정증보판",정선근 (지은이),언탱글링,2021-04-15,K872730815,9791197437304,16650,18500,35409,9,9,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=269524451&amp;partner=openAPI&amp;start=api,https://image.aladin.co.kr/product/26952/44/coversum/k872730815_2.jpg,"서울대 의대 재활의학과 정선근 교수의 스테디셀러인 '백년허리'의 개정증보판이다. 백년허리의 초판에서 고쳐야 할 부분을 대거 보충 하였을 뿐 아니라, 허리 통증은 진화의 축복이라는 요통에 대한 새로운 관점을 제시하고 있다.",2026-08-13T15:12:05+09:00
건강/취미,55890,10,397159327,토지 필사 노트,"박경리 (지은이), 유선경 (엮은이)",다산초당,2026-07-15,K362130693,9791130681924,22500,25000,6125,10,10,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=397159327&amp;partner=openAPI&amp;start=api,https://image.aladin.co.kr/product/39715/93/coversum/k362130693_1.jpg,"박경리 대하소설 『토지』가 품은 정신과 문장의 정수를 단 한 권에 담아냈다. 『어른의 어휘력』, 『하루 한 장 나의 어휘력을 위한 필사 노트』로 필사 열풍을 이끈 유선경 작가가 엮고 썼다. 소문난 독서가인 그는 『토지』를 세 차례 정독하며 세상과 인생에 대한 수많은 답을 발견했다고 말한다.",2026-08-13T15:12:05+09:00
