rank_group,observation_count,median_sales_point,mean_log_sales_point,first_quartile,third_quartile
1~10위,150,24040.0,9.991500517574108,8831.25,52068.0
11~20위,150,10276.0,9.311081110129253,4395.0,24928.75
21~30위,150,9762.5,9.166542910498313,3521.25,25490.0
31~50위,300,7994.5,8.935459202741443,2700.0,20801.75
51~75위,375,5195.0,8.638837594185938,2255.0,13032.0
76~100위,375,4650.0,8.54249982971789,2077.5,12534.0
101~125위,375,3962.0,8.354134463955795,1972.0,9301.0
126~150위,375,3600.0,8.260543216983839,1779.0,7702.0
151~175위,375,2680.0,8.049117016412245,1238.0,7291.0
176~200위,375,3667.0,8.087738814769109,1477.5,7023.5
